FOI	FOIFR	FOIID	OP	OPFR	OPID	VAL	VALFR	VALID	
Vessel-ray pits	Puits vaisseau-rayon	27	shape	forme	11	Vessel–ray pits with much reduced borders to apparently simple: pits horizontal (scalariform, gash-like) to vertical (palisade)	Pits vaisseaux-rayons avec des bords très réduits à apparemment simples : pits horizontaux (scalaires, en forme d'entaille) à verticaux (palissade)	32	
Vessel-ray pits	Puits vaisseau-rayon	27	shape	forme	11	Vessel–ray pits of two distinct sizes or types in the same ray cell	Pores vaso-rayés de deux tailles ou types distincts dans la même cellule rayonnante	33	
Vessel-ray pits	Puits vaisseau-rayon	27	shape	forme	11	Vessel–ray pits unilaterally compound and coarse (over 10 μm)	Pores vaso-rayés composés unilatéralement et grossiers (plus de 10 μm)	34	
Vessel-ray pits	Puits vaisseau-rayon	27	shape	forme	11	Vessel–ray pits restricted to marginal rows	Pores vaso-rayés limités aux rangées marginales	35	
Helical thickenings	Épaississements hélicoïdaux	11	presence (of Helical thickenings in vessel elements)	présence d’épaississements hélicoïdaux dans les éléments de vaisseaux	9	TRUE	VRAI	36	
Helical thickenings	Épaississements hélicoïdaux	11	location	localisation	5	Helical thickenings throughout body of vessel element	Épaississements hélicoïdaux dans tout le corps des éléments vasculaires	37	
Helical thickenings	Épaississements hélicoïdaux	11	location	localisation	5	Helical thickenings only in vessel element tails	Épaississements hélicoïdaux uniquement dans les queues des éléments vasculaires	38	
Helical thickenings	Épaississements hélicoïdaux	11	location	localisation	5	Helical thickenings only in narrower vessel elements	Épaississements hélicoïdaux uniquement dans les éléments vasculaires plus étroits	39	
Vessel Lumina	Trachéides vasculaires / vasicentriques	26	mean tangential diameter of vessel lumina	diamètre tangentiel moyen de la lumière des vaisseaux	6	≤ 50 μm	≤ 50 μm	40	
Vessel Lumina	Lumières des vaisseaux	26	mean tangential diameter of vessel lumina	diamètre tangentiel moyen de la lumière des vaisseaux	6	50–100 μm	50–100 μm	41	
Vessel Lumina	Lumières des vaisseaux	26	mean tangential diameter of vessel lumina	diamètre tangentiel moyen de la lumière des vaisseaux	6	100–200 μm	100–200 μm	42	
Vessel Lumina	Lumières des vaisseaux	26	mean tangential diameter of vessel lumina	diamètre tangentiel moyen de la lumière des vaisseaux	6	≥ 200 μm	≥ 200 μm	43	
vessels	Vaisseaux	28	vessels density	densité des vaisseaux	15	≤ 5 vessels per square millimetre	≤ 5 vaisseaux par millimètre carré	46	
vessels	Vaisseaux	28	vessels density	densité des vaisseaux	15	5–20 vessels per square millimetre	5 à 20 vaisseaux par millimètre carré	47	
vessels	Vaisseaux	28	vessels density	densité des vaisseaux	15	20–40 vessels per square millimetre	20 à 40 vaisseaux par millimètre carré	48	
vessels	Vaisseaux	28	vessels density	densité des vaisseaux	15	40–100 vessels per square millimetre	40 à 100 vaisseaux par millimètre carré	49	
vessels	Vaisseaux	28	vessels density	densité des vaisseaux	15	≥ 100 vessels per square millimetre	≥ 100 vaisseaux par millimètre carré	50	
vessels	Vaisseaux	28	length	longueur	4	≤ 350 μm	≤ 350 μm	52	
vessels	Vaisseaux	28	length	longueur	4	350–800 μm	350–800 μm	53	
vessels	Vaisseaux	28	length	longueur	4	≥ 800 μm	≥ 800 μm	54	
vessels	Vaisseaux	28	tyloses and deposits in vessels	tyloses et dépôts dans les vaisseaux	13	Tyloses common	Tyloses courants	56	
vessels	Vaisseaux	28	tyloses and deposits in vessels	tyloses et dépôts dans les vaisseaux	13	Tyloses sclerotic	Tyloses sclérotiques	57	
vessels	Vaisseaux	28	tyloses and deposits in vessels	tyloses et dépôts dans les vaisseaux	13	Gums and other deposits in heartwood vessels	Gommes et autres dépôts dans les vaisseaux du bois de cœur	58	
vessels	Vaisseaux	28	presence of vessels	présence de vaisseaux	9	FALSE	FAUX	59	
Vascular /vasicentric tracheids	Structure en étages	25	presence of Vascular /vasicentric tracheids	présence de trachéides vasculaires/vasicentriques	9	TRUE	VRAI	60	
FibresPits	Puits de fibres	9	shape	forme	11	Fibres with simple to minutely bordered pits	Fibres avec des ponctuations simples très finement bordées	61	
FibresPits	Puits de fibres	9	shape	forme	11	Fibres with distinctly bordered pits	Fibres avec des ponctuations nettement bordées	62	
FibresPits	Puits de fibres	9	location	localisation	5	Fibre pits common in both radial and tangential walls	Pits fibreux communs dans les parois radiales et tangentielles	63	
FibresPits	Puits de fibres	9	location	localisation	5	Fibre pits common in radial or tangential walls	Pits fibreux communs dans les parois radiales ou tangentielles	63b	
Helical thickenings	Épaississements hélicoïdaux	11	location	localisation	5	Helical thickenings in ground tissue fibres	Épaississements hélicoïdaux dans les fibres du tissu fondamental	64	
Septate fibres	Cellule de rayon	16	presence of septate fibres	présence de fibres septées	9	TRUE	VRAI	65	
Septate fibres	Fibres septées	16	presence of septate fibres	présence de fibres septées	9	FALSE	FAUX	65b	
NonSeptate fibres	Inclusion minérale	15	presence of nonSeptate fibres	présence de fibres non septées	9	TRUE	VRAI	66	
NonSeptate fibres	Fibres non septées	15	presence of nonseptate fibres	présence de fibres non septées	9	FALSE	FAUX	66b	
Septate fibres	Fibres septées	16	arrangement	agencement	1	Parenchyma-like fibre bands alternating with ordinary fibres	Bandes de fibres de type parenchyme alternant avec des fibres ordinaires	67	
Fibres	Fibres	8	thickness of fibre walls	épaisseur des parois des fibres	12	Fibres very thin-walled	Fibres à paroi très mince	68	
Fibres	Fibres	8	thickness of fibre walls	épaisseur des parois des fibres	12	Fibres thin- to thick-walled	Fibres à paroi mince à épaisse	69	
Fibres	Fibres	8	thickness of fibre walls	épaisseur des parois des fibres	12	Fibres very thick-walled	Fibres à paroi très épaisse	70	
Fibres	Fibres	8	length	longueur	4	≤ 900 μm	≤ 900 μm	71	
Fibres	Fibres	8	length	longueur	4	900–1600 μm	900–1600 μm	72	
Fibres	Fibres	8	length	longueur	4	≥ 1600 μm	≥ 1600 μm	73	
Axial parenchyma	Parenchyme axial	2	presence of Axial parenchyma	présence de parenchyme axial	9	FALSE	FAUX	75	
Apotracheal Axial parenchyma	Parenchyme axial apotrachéal	1	arrangement	agencement	1	Axial parenchyma diffuse	Parenchyme axial diffus	76	
Apotracheal Axial parenchyma	Parenchyme axial apotrachéal	1	arrangement	agencement	1	Axial parenchyma diffuse-in-aggregates	Parenchyme axial diffus en agrégats	77	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma scanty paratracheal	Parenchyme axial paratrachéal clairsemé	78	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma vasicentric	Parenchyme axial vasicentrique	79	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma aliform	Parenchyme axial aliforme	80	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma lozenge-aliform	Parenchyme axial losange-aliforme	81	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma winged-aliform	Parenchyme axial aliforme ailé	82	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma confluent	Parenchyme axial confluent	83	
Paratracheal Axial parenchyma	Parenchyme axial paratrachéal	18	arrangement	agencement	1	Axial parenchyma unilateral paratracheal	Parenchyme axial paratrachéal unilatéral	84	
Banded parenchyma	Parenchyme en bandes	4	arrangement	agencement	1	Axial parenchyma bands more than three cells wide	Bandes de parenchyme axial de plus de trois cellules de large	85	
Banded parenchyma	Parenchyme en bandes	4	arrangement	agencement	1	Axial parenchyma in narrow bands or lines up to three cells wide	Parenchyme axial en bandes étroites ou en lignes de trois cellules de large maximum	86	
Banded parenchyma	Parenchyme en bandes	4	arrangement	agencement	1	Axial parenchyma reticulate	Parenchyme axial réticulé	87	
Banded parenchyma	Parenchyme en bandes	4	arrangement	agencement	1	Axial parenchyma scalariform	Parenchyme axial scalariforme	88	
Banded parenchyma	Parenchyme en bandes	4	arrangement	agencement	1	Axial parenchyma in marginal or in seemingly marginal bands	Parenchyme axial en bandes marginales ou apparemment marginales	89	
Axial parenchyma strand	Brin de parenchyme axial	3	length	longueur	4	Fusiform parenchyma cells	Cellules parenchymateuses fusiformes	90	
Axial parenchyma strand	Brin de parenchyme axial	3	length	longueur	4	Two cells per parenchyma strand	Deux cellules par filament parenchymateux	91	
Axial parenchyma strand	Brin de parenchyme axial	3	length	longueur	4	Four (3–4) cells per parenchyma strand	Quatre (3-4) cellules par filament parenchymateux	92	
Axial parenchyma strand	Brin de parenchyme axial	3	length	longueur	4	Eight (5–8) cells per parenchyma strand	Huit (5-8) cellules par filament parenchymateux	93	
Axial parenchyma strand	Brin de parenchyme axial	3	length	longueur	4	Over eight cells per parenchyma strand	Plus de huit cellules par filament parenchymateux	94	
Axial parenchyma strand	Brin de parenchyme axial	3	length	longueur	4	Unlignified parenchyma	Parenchyme non lignifié	95	
Rays	Cristal prismatique	21	width	largeur	16	Rays exclusively uniseriate	Rayons exclusivement unisériés	96	
Rays	Rayons	21	width	largeur	16	Ray width 1 to 3 cells	Largeur des rayons de 1 à 3 cellules	97	
Rays	Rayons	21	width	largeur	16	Larger rays commonly 4- to 10-seriate	Rayons plus grands généralement de 4 à 10 séries	98	
Rays	Rayons	21	width	largeur	16	Larger rays commonly >10-seriate	Rayons plus grands généralement >10 séries	99	
Rays	Rayons	21	width	largeur	16	Rays with multiseriate portion(s) as wide as uniseriate portions	Rayons avec une ou plusieurs parties multisériées aussi larges que les parties unisériées	100	
Rays	Rayons	21	arrangement	agencement	1	Aggregate rays	Rayons agrégés	101	
Rays	Rayons	21	ray height	hauteur des rayons	10	>1 mm	>1 mm	102	
Rays	Rayons	21	width	largeur	16	presence of Rays of two distinct sizes	Présence de rayons de deux tailles distinctes	103	info supplémentaire sur size (annotation)
Rays cell	Rayons	22	cellular composition	composition cellulaire	3	All ray cells procumbent	Toutes les cellules des rayons sont couchées	104	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	All ray cells upright and / or square	Toutes les cellules des rayons sont dressées et/ou carrées	105	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Body ray cells procumbent with one row of upright and / or square marginal cells	Les cellules des rayons du corps sont couchées avec une rangée de cellules marginales dressées et/ou carrées	106	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Body ray cells procumbent with mostly 2–4 rows of upright and / or square marginal cells	Les cellules des rayons du corps sont couchées avec principalement 2 à 4 rangées de cellules marginales dressées et/ou carrées	107	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Body ray cells procumbent with over 4 rows of upright and /or square marginal cells	Les cellules des rayons du corps sont couchées avec plus de 4 rangées de cellules marginales dressées et/ou carrées	108	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Rays with procumbent, square and upright cells mixed throughout the ray	Rayons avec des cellules couchées, carrées et dressées mélangées dans tout le rayon	109	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Sheath cells	Cellules de gaines	110	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Tile cells	Cellules en tuiles	111	
Rays cell	Cellule de rayon	22	cellular composition	composition cellulaire	3	Perforated ray cells	Cellules des rayons perforées	112	
Rays	Rayons	21	Shape	forme	11	Disjunctive ray parenchyma cell walls	Parois cellulaires du parenchyme rayonnant disjonctives	113	
Rays	Rayons	21	rays per millimetre	rayons par millimètre	10	≤ 4 /mm	≤ 4 /mm	114	
Rays	Rayons	21	rays per millimetre	rayons par millimètre	10	4–12 /mm	4–12 /mm	115	
Rays	Rayons	21	rays per millimetre	rayons par millimètre	10	≥ 12 /mm	≥ 12 /mm	116	
Rays	Rayons	21	presence (of Rays)	présence de rayons	9	FALSE	FAUX	117	
Storied structure	Corps siliceux	24	arrangement	agencement	1	All rays storied	Tous les rayons sont étagés	118	
Storied structure	Structure en étages	24	arrangement	agencement	1	Low rays storied, high rays non-storied.	Rayons bas étagés, rayons hauts non étagés.	119	
Storied structure	Structure en étages	24	arrangement	agencement	1	Axial parenchyma and/or vessel elements storied	Parenchyme axial et/ou éléments vasculaires étagés	120	
Storied structure	Structure en étages	24	arrangement	agencement	1	Fibres storied	Fibres étagées	121	
Storied structure	Structure en étages	24	arrangement	agencement	1	Rays and /or axial elements irregularly storied	Rayons et/ou éléments axiaux irrégulièrement étagés	122	
Storied structure	Structure en étages	24	arrangement	agencement	1	Number of ray tiers per axial mm	Nombre de niveaux de rayons par mm axial	123	
Oil and/or mucilage cell	Fibres non septées	17	location	localisation	5	Oil and /or mucilage cells associated with ray parenchyma	Cellules huileuses et/ou mucilagineuses associées au parenchyme rayonnant	124	
Oil and/or mucilage cell	Cellule à huile et/ou mucilage	17	location	localisation	5	Oil and /or mucilage cells associated with axial parenchyma	Cellules huileuses et/ou mucilagineuses associées au parenchyme axial	125	
Oil and/or mucilage cell	Cellule à huile et/ou mucilage	17	location	localisation	5	Oil and /or mucilage cells present among fibres	Cellules huileuses et/ou mucilagineuses présentes parmi les fibres	126	
Canals	Canaux	6	arrangement	agencement	1	Axial canals in long tangential lines	Canaux axiaux en longues lignes tangentielles	127	
Canals	Canaux	6	arrangement	agencement	1	Axial canals in short tangential lines	Canaux axiaux en courtes lignes tangentielles	128	
Canals	Canaux	1	arrangement	agencement	1	Axial canals diffuse	Canaux axiaux diffus	129	
Canals	Canaux	6	arrangement	agencement	1	Radial canals	Canaux radiaux	130	
Canals	Canaux	6	arrangement	agencement	1	Intercellular canals of traumatic origin	Canaux intercellulaires d'origine traumatique	131	
Laticifers or tanniniferous Tubes	Laticifères ou tubes à tanin	13	presence of Laticifers or tanniniferous Tubes	présence de laticifères ou de tubes tanninifères	9	TRUE	VRAI	132	
cambial variant	Variante cambiale	5	arrangement	agencement	1	Included phloem, concentric	Phloème inclus, concentrique	133	
cambial variant	Variante cambiale	5	arrangement	agencement	1	Included phloem, diffuse	Phloème inclus, diffus	134	
cambial variant	Variante cambiale	5	arrangement	agencement	1	Other cambial variants	Autres variantes cambiales	135	
mineral inclusion	Inclusion minérale	14	Types	types	14	Prismatic crystal	Cristaux prismatiques	136	
Prismatic crystal	Plaque de perforation	20	location	localisation	5	Prismatic crystals in upright and /or square ray cells	Cristaux prismatiques dans les cellules rayonnantes dressées et/ou carrées	137	
Prismatic crystal	Cristal prismatique	20	location	localisation	5	Prismatic crystals in procumbent ray cells	Cristaux prismatiques dans les cellules rayonnantes couchées	138	
Prismatic crystal	Cristal prismatique	20	location	localisation	5	Prismatic crystals in radial alignment in procumbent ray cells	Cristaux prismatiques alignés radialement dans les cellules rayonnantes couchées	139	
Prismatic crystal	Cristal prismatique	20	location	localisation	5	Prismatic crystals in chambered upright and /or square ray cells	Cristaux prismatiques dans les cellules rayonnées verticales et/ou carrées à chambres	140	
Prismatic crystal	Cristal prismatique	20	location	localisation	5	Prismatic crystals in nonchambered axial parenchyma cells	Cristaux prismatiques dans les cellules du parenchyme axial sans chambres	141	
Prismatic crystal	Cristal prismatique	20	location	localisation	5	Prismatic crystals in chambered axial parenchyma cells	Cristaux prismatiques dans les cellules du parenchyme axial à chambres	142	
Prismatic crystal	Cristal prismatique	20	location	localisation	5	Prismatic crystals in fibres	Cristaux prismatiques dans les fibres	143	
mineral inclusion	Inclusion minérale	14	Types	types	14	druses	druses	144	
Druses	Druses	7	location	localisation	5	Druses in ray parenchyma cells	Druses dans les cellules du parenchyme rayonnant	145	
Druses	Druses	7	location	localisation	5	Druses in axial parenchyma cells	Druses dans les cellules du parenchyme axial	146	
Druses	Druses	7	location	localisation	5	Druses in fibres	Druses dans les fibres	147	
Druses	Druses	7	location	localisation	5	Druses in chambered cells	Druses dans les cellules à compartiments	148	
mineral inclusion	Inclusion minérale	14	Types	types	14	Raphides	Raphides	149	
mineral inclusion	Inclusion minérale	14	Types	types	14	Acicular crystals	Cristaux aciculaires	150	
mineral inclusion	Inclusion minérale	14	Types	types	14	Styloids and /or elongated crystals	Cristaux styloïdes et/ou allongés	151	
mineral inclusion	Inclusion minérale	14	Types	types	14	Crystals of other shapes	Cristaux d'autres formes	152	
mineral inclusion	Inclusion minérale	14	Types	types	14	Crystal sand	Sable cristallin	153	
mineral inclusion	Inclusion minérale	14	Types	types	14	Crystal sand	Sable cristallin	153	
mineral inclusion	Inclusion minérale	14	arrangement	agencement	1	More than one crystal of about the same size per cell or chamber	Plus d'un cristal de taille similaire par cellule ou chambre	154	
mineral inclusion	Inclusion minérale	14	arrangement	agencement	1	Two distinct sizes of crystals per cell or chamber	Deux tailles distinctes de cristaux par cellule ou chambre	155	
mineral inclusion	Inclusion minérale	14	arrangement	agencement	1	Crystals in enlarged cells	Cristaux dans des cellules élargies	156	
mineral inclusion	Inclusion minérale	14	arrangement	agencement	1	Crystals in tyloses	Cristaux dans des tyloses	157	
mineral inclusion	Inclusion minérale	14	Types	types	14	Cystoliths	Cystolithes	158	
mineral inclusion	Inclusion minérale	14	Types	types	14	Silica Bodies	Corps siliceux	159	
Silica Bodies	Fibres septées	23	location	localisation	5	Silica bodies in ray cells	Corps siliceux dans les cellules rayonnées	160	
Silica Bodies	Corps siliceux	23	location	localisation	5	Silica bodies in axial parenchyma cells	Corps siliceux dans les cellules du parenchyme axial	161	
Silica Bodies	Corps siliceux	23	location	localisation	5	Silica bodies in fibres	Corps siliceux dans les fibres	162	
mineral inclusion	Inclusion minérale	14	Types	types	14	Vitreous silica	Silice vitreuse	163	
Rays	Rayons	21	arrangement	agencement	1	regular arrangement of rays	Disposition régulière des rayons	101b	
Rays	Rayons	21	ray height	hauteur des rayons	10	<=1 mm(regular)	<=1 mm	102b	
Rays	Rayons	21	shape	forme	11	Regular ray parenchyma cell walls	Parois cellulaires régulières du parenchyme rayonnant	113b	
Rays	Rayons	21	presence (of Rays)	présence de rayons	9	TRUE	VRAI	117b	
vessels	Vaisseaux	28	shape	forme	11	Solitary vessel outline circular	Contour des vaisseaux solitaires circulaire	12b	
Laticifers or tanniniferous Tubes	Laticifères ou tubes à tanin	13	presence of Laticifers or tanniniferous Tubes	présence de laticifères ou de tubes tanninifères	9	FALSE	FAUX	132b	
Vestured pits	Puits bordés	29	presence of vestured pits	présence de ponctuations vesturées	9	FALSE	FAUX	29b	
Helical thickenings	Épaississements hélicoïdaux	11	presence (of Helical thickenings in vessel elements)	présence d’épaississements hélicoïdaux dans les éléments de vaisseaux	9	FALSE	FAUX	36b	
vessels	Vaisseaux	28	presence of vessels	présence de vaisseaux	9	TRUE	VRAI	59b	
Vascular /vasicentric tracheids	Trachéides vasculaires / vasicentriques	25	presence of Vascular /vasicentric tracheids	présence de trachéides vasculaires/vasicentriques	9	FALSE	FAUX	60b	
Septate fibres	Fibres septées	16	arrangement	agencement	1	regular arrangement	Disposition régulière	67b	
Axial parenchyma	Parenchyme axial	2	presence of Axial parenchyma	présence de parenchyme axial	9	TRUE	VRAI	75b	
